Dealer Name,Courses Taken,Pass Rate,Number of QA Audits
clean energy usa llc,4,0,1
clean power systems,9,0,1
clean solar,5,0,1
clear solar solutions inc,3,0,1
cm solar electric,2,1,2
coastline heating air conditioning,2,0,1
cobalt power systems,17,0,1
complete solar solutions,2,0,1
consolidated edison solutions inc,3,0,1
cool brew solar and electric,176,0.477272727,44
cool earth solar,2,0,1
cosmic solar,272,0.911764706,34
creative energies,4,0,1
cresttel,1,0,1
"CSI, dba vanguard energy",4,0,1
c-tec solar llc,8,1,2
custom electrical service llc,8,0.75,4
custom solar,2,0,1
d&d plumbing heating and cooling,2,0,1
desert solar homes,1,0,1
diablo solar services,11,0,1
distributed energy partners,4,0,1
district energy llc,2,0,1
divine power usa,4,0,1
dmv equity inc,12,1,4
do not use - former partner employees,381,0,1
dority roofing,1,0,1
downstream construction,3,0,1
e2 solar inc,13,0.5,2
earthlight technologies llc,366,0.786885246,61
eclipse energy and construction,456,0.828947368,76
eco solar llc,10,0,1
ecobilt energy systems,2,0,1
econo air,2,0,1
ecosolar usa,119,0.411764706,17
ecs energy ltd,3,0,1
edge energy,11,0,1
electric tech construction inc,2,0,1
electrical contracting enterprises llc,2,0,1
electrical distribution services,5,0,1
empower solar,66,1,2
empower solar solutions,33,0.454545455,33
endurance solar & engineering,2,0,1
energized solar,2,0,1
energy builders inc,18,0.444444444,9
energy by choice ltd,8,0,1
energy concepts,318,0.65,80
energy conservation services,1,0,1
energy efficiency solar,1,0,1
energy house,5,0,1
energy industries llc,14,0,1
energy plus solar inc,315,0.514285714,35
energy savers home performance,4,0,1
envinity inc,4,0,1
"environmental control inc, dba encon",8,1,1
esa solar energy llc,10,0.6,5
esmay electric,70,0.928571429,14
etm solar,4,0,1
fidelity roof company,1,0,1
fls energy,8,0,1
frase electric llc,2,0,1
freedom solar,39,1,3
freedom solar power,42,0,1
fresno economic opportunity commission,65,0,1
future energy corporation southern california,4,0,1
gaia energy systems,4,0,1
gary luke roofing,1,0,1
generation 819,3,0,1
genrenew llc,216,0.666666667,54
geo innovation llc,2,0,1
geogenix llc,32,0,1
geopeak energy llc,5,0,1
geoscape solar,10,1,5
get solarize,94,0.29787234,47
go solar electric llc,3,0,1
go solar/green ny llc,11,1,1
goggin energy,2,0,1
golden energy inc,1,0,1
golden state solar inc,2,0,1
golden west energy,1,0,1
good energy renewables inc,4,1,1
good energy solutions,2,0,1
goosebumps inc,1,0,1
gosimplesolar.com by semper fidelis construction inc,1,0,1
granite expo & company inc,3,0,1
grassroots solar inc,11,0,1
green choice solar,4,0,1
green convergence,784,0.734693878,49
green energy group,6,0,1
green energy products llc,4,0,1
green power installers,2,0,1
green power professionals,1,0,1
green stream solar + electric,2,0,1
green street,4,0,1
green team li,8,0.5,2
green tech solutions inc,4,0,1
greenlogic llc,9,0,1
greenmind energy llc,1,0,1
grid alternatives,5,0,1
"halco, renewable energy division",9,0,1
hamilton solar,3,0,1
harmon electric inc,8,0,1
hawaii pv partners llc,2,0,1
"heat shed, a geogenix company",10,0,1
heliopower inc,4,0,1
heliotek corporation,2,0,1
herca solar,8,0,1
heritage solar inc,6,0,1
hes solar,620,0.870967742,31
hesolar,2,0,1
high noon solar & energy products,4,0,1
hi-power solar llc,11,0,1
home energy systems inc,6,0,1
"home networks, electric & solar inc",4,0,1
honey electric solar inc,1,0,1
honey's air & solar,24,0.833333333,6
hooked on solar,760,0.878947368,190
horizon energy systems,2,0,1
hot purple energy,4,0,1
hpm solar inc,3,0,1
hudson solar,17,0,1
hunt electric corp,1,0,1
independent power systems,13,0,2
infinity energy,51,0.705882353,17
infinity solar systems,52,0.5,4
integrated energy systems,2,0,1
integrated power supplies international inc,1,0,1
intermountain wind and solar llc,2,0,1
island electric,4,0,1
islandwide solar llc,2,0,1
jamar electric san diego inc,2,0,1
jamar power systems,3,0,1
jersey solar llc,1,0,1
jk solar inc,2,0,1
joule energy,2,0,1
jp electric and solar,240,0.791666667,24
kama'aina solar solutions,2,0,1
kamtech solar solutions,245,0.693877551,49
kbi electric inc,56,0.678571429,28
kg solar and renewable energy llc,3,0,1
kps solar,5,0,1
kurios energy,60,0.6,10
kv solar supply,1,0,1
kw solar solutions,2,0,1
l&m roofing association llc,1,0,1
la solar group inc,6,0,1
legacy solar,336,0.8125,16
"legend ventures llc, dba legend solar",4,0,1
lifestyle solar inc,2,0,1
lifetime power,18,0.666666667,9
"lightwave solar electric, antioch",9,0,1
litchfield hills solar llc,2,0,1
living solar,2,0,1
lotus energy,16,0,1
luminalt,93,0.666666667,3
m. kahn solar inc,24,0.75,4
majestic son & sons inc,4,0,1
martifer solar,8,0,1
maui solar project llc,2,0,1
"mauzy heating, air and solar",4,0,1
"mechanical energy systems inc, the solar specialist",2,0,1
mendocino solar service,2,0,1
mercury solar systems inc,5,0,1
meridian solar inc,2,0,1
metro rf,2,0,1
milholland electric,272,0.852941176,34
mimeos sustainability consultants,1,0,1
mira bella builders,2,0,1
mirasol solar,12,0.666666667,3
mission city construction inc,1,0,1
mohr power solar inc,5,0,1
"mosher enterprises inc, dba consolidated solar technologies (cst) albuquerque",25,0,1
mountain view solar,3,0,1
moxie solar inc,64,0.46875,32
mr. solar,1,0,1
my solar llc,1,0,1
namaster solar,98,0,1
natural energy,2,0,1
nb baker electric,15,0,1
nd burtek energy llc,1,0,1
nd enlight energy llc,1,0,1
nd ion solar pros llc,76,1,19
nd kamtech solar solutions,1,0,1
nd provoltz,1,0,1
nd quality home services,2,0,1
nd savkat inc,1,0,1
nd solar energy designs,2,0,1
"nd tkh building service inc, dba revolt solar",2,0,1
"neil kelly co, dba mr. sun solar",1,0,1
new england clean energy llc,9,0,1
new york state solar farm inc,115,0.608695652,23
next solar inc,32,1,8
nextenergy corp,10,0,1
nm solar group inc,2,0,1
nogginhaus llc & runnemede phce,6,0,1
north shore solar,1,0,1
northern pacific power systems inc,90,0.6,10
oak electric,4,0,1
occidental power,7,0,1
olympic sun,2,0,1
one solar,2,0,1
one world sustainable energy corp,2,0,1
pacific electric solar,2,0,1
pacificsky solar llc,4,0,1
pavletich electric and communications inc,20,1,4
peak power solutions,2,0,1
peak solar designs llc,2,0,1
pell solar,4,0,1
perfect power inc,3,0,1
permacity corp,7,0,1
phat energy corporation,5,0,1
"philip a harris, dba pa harris electric",1,0,1
phoenix solar specialists llc,2,0,1
photon brothers,5,0,1
"pm&m electric inc, dba titan solar power",30,0.8,5
poco solar energy inc,8,0,1
"positive energy inc, new mexico",4,0,1
potere solar,4,0,1
power production management inc,7,0,1
power trip energy corp,14,0,1
powerhouse solar inc,42,0.666666667,6
precis solar,3204,0.842696629,89
prospect solar,2,0,1
provision solar inc,2,0,1
provoltz inc,10,0,1
psr,1,0,1
pure energy solar inc,4,0,1
purepoint energy,50,0.8,5
pv squared,22,0,1
pv technology inc,4,0,1
quad state solar,1,0,1
quality home services,1070,0.794392523,107
quantum llc,1,0,1
radiance solar,4,0,1
rainshadow solar & energy solutions inc,2,0,1
rayah solar,3,0,1
"real goods energy tech, dba real goods solar",6,0,1
redwood city electric,2,0,1
regional sales manager,2,0,1
renewable energy electric inc,2,0,1
renewable power systems llc,5,0,1
renewable rochester,6,0,1
"renewergy solutions group llc, dba solar & more",1,0,1
renova energy corp,2525,0.861386139,101
renovus energy inc,15,0,1
renu energy solutions,2,0,1
restart solar,7,0,1
revco solar engineering inc,5,0,1
revision energy inc,4,0,1
revolusun,39,0.8,5
revolution solar,2,0,1
rising sun llc,17,0,1
roofsimple inc,2,0,1
ross solar,13,0,1
rowe electric inc,2,0,1
rugg's construction,2,0,1
salt river solar & wind,3,0,1
salt service inc,5,0,1
savkat inc,140,0.771428571,35
scudder solar electrical energy systems,5,0,1
scurfield solar and heating,44,0.909090909,11
sea bright solar llc,693,0.743589744,117
secco inc,4,0,1
second generation energy llc,15,0.666666667,3
sel construction,2,0,1
semper solaris construction inc,10,0,1
sequoia solar,2,0,1
shippee solar and construction llc,4,0,1
sierra roofing & solar,1,0,1
simmitri inc,2,0,1
simple solar systems,9,0,1
sky engineering,6,0,1
sky power systems,8,1,2
sky solar energy inc,10,0.7,10
skyway electric,1,0,1
slingshot power,8,0,1
smart energy solar inc,3,0,1
smart home remodeling inc,2,0,1
smart solar llc,3,0,1
sol reliable inc,1,0,1
solaire energy systems systems,4,0,1
solar alliance of america inc,2,0,1
"solar communities, dba suncommon suncommon",12,0,1
solar distributors inc. inc,2,0,1
solar energy designs inc. inc,1,0,1
solar energy exchange inc,2,0,1
solar energy partners llc,4,0,1
solar energy solutions inc,2,0,1
solar energy solutions llc,3,0,1
solar energy systems,1,0,1
solar energy world,2,0,1
solar five llc,250,0.48,25
solar forward,20,0.5,2
solar generation,1,0,1
solar greenergy,1,0,1
solar holmes,2,0,1
solar hut llc,18,0.5,2
solar ki,2,0,1
solar liberty energy systems,4,0,1
solar lights inc,1,0,1
solar maximum llc,3,0,1
solar mite solutions llc,18,0.785714286,14
solar panel solutions inc,1,0,1
solar plus llc,2,0,2
solar solution,2,0,1
solar solutions 4u inc,10,0.2,5
solar system inc,1,0,1
solar tec systems inc,2,0,1
solar technologies,340,0.705882353,17
solar topps,14,0,1
solar unlimited,5,0,1
solar vast,21,0.714285714,7
solar wave,1,0,1
solar works ca,10,0,1
solar wrights inc,8,0,1
solarcraft,5,0,1
solardelphia,8,0,1
solar-fit,4,0,1
solarmax renewable energy provider inc,2,0,1
solaron,3,0,1
solarone energy group llc,60,0.6,15
solarponics,2,0,1
solartech,132,0.696969697,66
solartistry,1,0,1
solforce systems inc,3,0,1
sol-tek industries,12,0,1
sonic solar energy,2,0,1
south coast solar,100,0.75,4
south mountain company,8,0,1
south sound solar,4,0,1
southard solar & construction,3,0,1
southern energy management,19,0,1
"southwest sustainable energy llc, dba border solar",4,0,1
standard solar inc,20,0,1
star installations inc,2,0,1
stellar solar electric,2030,0.75862069,58
straight up solar,2,0,1
streamline solar power systems llc,275,0.727272727,11
stroops accurate refrigerations inc,2,0,1
sullivan solar power,10,0,1
summerwind solar llc,6,0,2
sun farm ventures,1,0,1
sun first! Inc,135,0.6,15
sun light & power,2,1,1
sun metrics corporation,3,0,1
sun pacific solar electric inc,4,1,1
sun solar,3927,0.732620321,374
"sun source, dba lighthouse solar",2,0,1
sun valley solar inc,465,0.666666667,15
sunation solar systems inc,14,0,1
sunbelt solar energy,4,0,1
sunblue energy,1,0,1
sunbug solar llc,6,0,1
suncraft solar,2,0,1
sundance power systems,2,1,1
sunergy systems,6,0,1
sunetric,45,0,1
sunfiniti of wisconsin,2,0,1
sunharvest solar,2,0,1
sunlectric inc,2,0,1
sunlight solar energy inc,9,0,2
sunlight solar systems,1,0,1
sunmade energy inc,4,0.9,20
sunnymac,1080,0.577777778,45
sunon energy,4,0.5,2
sunpower applications and technical support,83,0,1
sunpro solar,88,0.818181818,11
sunrise solar inc,4,1,2
sunrise solar solutions inc,20,0.8,5
suns up solar,1,0,1
sunsational solar electric,2,0,1
sunsense inc,8,0,1
sunshine pacific group america inc,10,1,2
sunspear energy llc,2,0,1
sunstore solar,5,0,1
suntalk solar,1,0,1
suntime energy builders,21,0,1
suntuity,4,0,1
sunworks inc,6,1,1
sunworks solar systems inc,5,0,1
sustainable future,2,0,1
swan solar,3,0,1
swg energy,8,0,1
switch electric llc,1,0,1
synergy 768 inc,22,0.692307692,13
t&g roofing company inc,3,0,1
"taitem engineering, pc",7,0,1
tayco electric and solar inc,6,0,1
technicians for sustainability,13,0,1
terrasol energies inc,4,0,1
the boston solar company,6,1,1
the energy savings store,2,0,1
the energy shop inc,2,0,1
the entech group,3,0,1
the solar company,54,0,1
the solar quote llc,93,0.741935484,31
third sun solar,3,0,1
thompson and son energy,16,0.5,4
titan solar construction,6,0,1
todays energy store llc,152,0.921052632,38
training support group,15,0,1
treepublic inc,4,0,1
"trinity construction enterprises inc, dba trinity power",26,0.769230769,13
triple line solar,2,0,1
true power solar,90,0.8,15
true south solar inc,4,0,1
tsp solutions,4,0,1
ultra solar & wind solutions llc,2,0,1
urban energy,48,0.9375,16
us solarworks llc,4,0,1
usnoa inc,1,0,1
"valley heating, cooling, electrical",1,0,1
"valley pacific builders inc, dba pacific solar",48,0.916666667,12
valley solar inc,12,1,3
vantage home solar llc,8,1,8
venture solar,495,0.606060606,33
verengo inc,6,1,3
via solar,6,0,1
vision solar llc,236,0.576271186,59
vista solar,1,0,1
wegen solar inc,2,0,1
western sierra roofing,1,0,1
western sun systems,2,0,1
westhaven solar & construction,8,0,1
wildwood aquatech pools,2,0,1
windor,1,0,1
xero solar,5,0,1
yellowlite,2,0,1
yes solar solutions,9,0,3
